               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,           0.0097837,           0.0051454,          0.00067597,             0.99008,             0.99187,             0.99236,             0.93607,           0.0052199,           0.0027006,          0.00048261,           0.0074062,           0.0074062,           0.0074062
                 133,           0.0098537,           0.0051166,          0.00084151,             0.98875,             0.99248,             0.99283,             0.93722,           0.0051922,           0.0027018,          0.00049592,           0.0073864,           0.0073864,           0.0073864
                 134,           0.0098621,           0.0052131,           0.0010662,             0.99392,             0.98886,             0.99297,              0.9374,           0.0051727,           0.0026941,          0.00050297,           0.0073666,           0.0073666,           0.0073666
                 135,            0.010068,           0.0052523,           0.0013166,             0.99393,             0.99002,             0.99087,             0.93653,           0.0051931,           0.0027302,          0.00046688,           0.0073468,           0.0073468,           0.0073468
                 136,           0.0097367,            0.005143,          0.00079248,             0.99361,             0.99051,             0.99209,              0.9372,           0.0052448,           0.0027293,          0.00045031,            0.007327,            0.007327,            0.007327
                 137,           0.0097568,           0.0050578,          0.00099431,             0.99385,             0.99079,             0.99055,             0.93588,           0.0052622,           0.0027366,          0.00045301,           0.0073072,           0.0073072,           0.0073072
                 138,           0.0099328,           0.0052951,           0.0009453,             0.99394,             0.99068,             0.99033,             0.93435,           0.0052596,           0.0027361,          0.00046076,           0.0072874,           0.0072874,           0.0072874
                 139,           0.0096862,           0.0050857,          0.00094641,             0.99394,             0.99084,             0.99234,             0.93582,           0.0052891,           0.0027024,          0.00047156,           0.0072676,           0.0072676,           0.0072676
                 140,           0.0098582,           0.0050888,           0.0011129,             0.99372,             0.99129,              0.9929,             0.93803,           0.0052982,           0.0027093,          0.00046554,           0.0072478,           0.0072478,           0.0072478
                 141,            0.010177,           0.0052191,           0.0014812,             0.99358,             0.99228,             0.99273,             0.93622,           0.0052927,           0.0027128,          0.00045744,            0.007228,            0.007228,            0.007228
                 142,           0.0095977,           0.0051411,           0.0013333,             0.99329,             0.99228,             0.99273,             0.93577,            0.005283,           0.0027036,          0.00045746,           0.0072082,           0.0072082,           0.0072082
